ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
218981_at,5.767169618176471,4.437363872144231,-1.3298057460322399,6.1390224166430784e-06,5.231252216673889e-05
218984_at,5.3245809532941175,6.992930393615383,1.6683494403212658,2.5717159610934205e-12,7.216539097198858e-11
218996_at,4.861293476882353,6.295277032182692,1.4339835553003386,1.1970358744481548e-06,1.1810018255875966e-05
218999_at,7.587042853588237,5.304366620913461,-2.282676232674776,5.273693495015608e-14,1.9891701262229225e-12
219006_at,7.186020221705882,5.972775664576924,-1.2132445571289585,9.908337646512694e-06,8.082306985637667e-05
219010_at,3.7367865075882354,5.666408477451923,1.9296219698636876,2.6776767894218616e-05,0.00019727986162237552
219017_at,5.798672404764706,7.073054824951924,1.2743824201872176,8.89678577506855e-06,7.329169379441023e-05
219025_at,8.60729606,6.37835245628846,-2.2289436037115395,1.8184532246320997e-11,4.456639359999792e-10
219039_at,4.797980647705882,5.907531223144232,1.10955057543835,1.9886142587629765e-07,2.303407844419026e-06
219049_at,6.20488697882353,5.011574514538462,-1.1933124642850679,0.00019868860906387174,0.0011765461206571614
219051_x_at,3.3602482489999996,4.629416664615385,1.2691684156153853,0.00010585891199695047,0.0006749618642385
219053_s_at,7.596897687823529,9.102159085759617,1.5052613979360876,1.4101304432027429e-11,3.528817490122077e-10
219054_at,8.370082963529413,4.141699984576923,-4.22838297895249,2.1951757531888837e-26,5.787946735908024e-24
219057_at,3.500104921411765,4.777187202788462,1.277082281376697,1.0784001510386451e-10,2.3190702066011904e-09
219059_s_at,6.828896164352941,2.3855811267596154,-4.443315037593326,2.85513445936044e-39,2.226148337963335e-35
219061_s_at,6.75337334482353,8.032435432057692,1.2790620872341627,1.9622919980901744e-05,0.00014982584659842954
219063_at,5.002011206294118,6.088957792192308,1.0869465858981897,4.139450191687887e-09,6.658622222579817e-08
219064_at,9.667750108117648,4.989195424682692,-4.678554683434956,1.4415937153875879e-18,1.1386504108847925e-16
219076_s_at,7.653496549411764,6.6372691195576925,-1.0162274298540712,1.154521680757227e-05,9.278845356213915e-05
219090_at,6.345937727117647,5.240616304682693,-1.1053214224349546,0.006733038485952143,0.025009017798066014
219091_s_at,5.394077858176471,4.1989483193653845,-1.195129538811086,3.536205621246051e-10,6.952542024567299e-09
219093_at,7.757143791882353,4.480914955875,-3.276228836007353,1.3508227053874893e-19,1.2538529326078873e-17
219104_at,5.549770427882353,4.159477367346154,-1.390293060536199,9.104854711738594e-11,1.983767925397129e-09
219105_x_at,4.940793025529412,7.17307099714423,2.2322779716148187,8.956761637697955e-12,2.3059013840750788e-10
219112_at,4.731238459705882,6.184009330365385,1.4527708706595037,1.208140485816127e-10,2.5807866761392716e-09
219116_s_at,4.660645444117647,5.753395352692308,1.0927499085746604,1.1747824770130678e-06,1.1630410450371164e-05
