Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,mRNA Transcription By RNA Polymerase II (GO:0042789),9/38,0.601857017735708,0.999996199652386,0,0,0.9625344508760618,0.488712789355993,RXRB;MED1;NCOA2;NCBP2;TAF11;RARA;TAF6;TAF4;TAF2
GO_Biological_Process_2023,Membrane Assembly (GO:0071709),9/38,0.601857017735708,0.999996199652386,0,0,0.9625344508760618,0.488712789355993,UGCG;NSFL1C;UBXN2B;CHMP1A;CHMP4C;STX4;EMP2;TLCD1;DMKN
GO_Biological_Process_2023,Membrane Fission (GO:0090148),9/38,0.601857017735708,0.999996199652386,0,0,0.9625344508760618,0.488712789355993,EXOC7;HGS;VPS37C;CHMP4C;EXOC3;EXOC6;VPS37B;TMCC1;VPS28
GO_Biological_Process_2023,Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098),9/38,0.601857017735708,0.999996199652386,0,0,0.9625344508760618,0.488712789355993,EFNA1;PTPN1;ADAM17;ERBB3;DLG3;DOK7;FCGR1A;LRP8;SRCIN1
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase B Signaling (GO:0051897),22/93,0.6043896076146351,0.999996199652386,0,0,0.9609208609713492,0.4838584804231813,RET;HSP90AB1;GDF15;MAZ;PDGFA;PTPRJ;PIK3CB;GATA3;LRP2;MST1R;TGFBR1;RTN4;PTK2;IGF1R;MTDH;MC1R;P2RX4;FAM110C;CPNE1;GCNT2;RICTOR;FGFR1
GO_Biological_Process_2023,Regulation Of Cellular Localization (GO:0060341),17/72,0.6055292044264421,0.999996199652386,0,0,0.9585698516342682,0.4808689483426769,RABGAP1L;HSP90AB1;BORA;GSN;KDM1A;PARP1;WWC1;PARD6G;FKBP1A;MAPK8;PARD6B;RAB14;STX6;TRIM46;TRIM25;DVL3;TRIM38
GO_Biological_Process_2023,Negative Regulation Of GTPase Activity (GO:0034260),5/21,0.6075737410683617,0.999996199652386,0,0,0.9692568261137344,0.4829629648922288,GPSM1;WNK1;RCC2;SH3BP4;GMIP
GO_Biological_Process_2023,Plasma Membrane Repair (GO:0001778),5/21,0.6075737410683617,0.999996199652386,0,0,0.9692568261137344,0.4829629648922288,MYOF;CHMP1A;CHMP4C;MYH9;SYT7
GO_Biological_Process_2023,Positive Regulation Of Dendritic Spine Development (GO:0060999),5/21,0.6075737410683617,0.999996199652386,0,0,0.9692568261137344,0.4829629648922288,CAPRIN1;DLG5;DHX36;FOXO6;LRP8
GO_Biological_Process_2023,Positive Regulation Of Granulocyte Chemotaxis (GO:0071624),5/21,0.6075737410683617,0.999996199652386,0,0,0.9692568261137344,0.4829629648922288,CAMK1D;MDK;RAC1;S100A14;S100A7
GO_Biological_Process_2023,Regulation Of Histone Deacetylation (GO:0031063),5/21,0.6075737410683617,0.999996199652386,0,0,0.9692568261137344,0.4829629648922288,KAT2A;YEATS2;SUV39H1;WDR5;BAZ2A
GO_Biological_Process_2023,Retrotransposon Silencing (GO:0010526),5/21,0.6075737410683617,0.999996199652386,0,0,0.9692568261137344,0.4829629648922288,MOV10;ZNF91;ZNF93;SIRT7;APOBEC3B
GO_Biological_Process_2023,Sodium Ion Import Across Plasma Membrane (GO:0098719),5/21,0.6075737410683617,0.999996199652386,0,0,0.9692568261137344,0.4829629648922288,SLC12A2;SLC9A7;SCNN1A;SLC9A1;TRPM4
GO_Biological_Process_2023,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),36/152,0.6104608772345841,0.999996199652386,0,0,0.962325448845825,0.474947132326164,APP;TFRC;DHX9;NOD2;PRKCZ;MTDH;PYCARD;IKBKB;PIDD1;DHX33;IRAK1;CLEC7A;DDRGK1;FLOT1;EP300;TRIM25;ZBTB7A;PRKCI;TRIM62;NPM1;RNF25;SPHK1;RIPK4;TRAF2;TRAF5;TRIM13;TRIM14;PRKD2;ARHGEF2;TRIM38;MAP3K13;CARD14;CARD11;MYD88;LTF;HSPA1A
GO_Biological_Process_2023,Cellular Response To Glucose Stimulus (GO:0071333),8/34,0.6114648237154626,0.999996199652386,0,0,0.9543012451804564,0.4694187308480466,ERN1;PRKAA1;XBP1;ZBTB20;PDK3;ZNF236;SOX4;IGF1R
GO_Biological_Process_2023,Embryonic Skeletal System Development (GO:0048706),8/34,0.6114648237154626,0.999996199652386,0,0,0.9543012451804564,0.4694187308480466,COL1A1;KIAA1217;SLC2A10;HOXC4;SOX11;WNT9A;SULF1;SULF2
GO_Biological_Process_2023,Negative Regulation Of Mitotic Cell Cycle (GO:0045930),8/34,0.6114648237154626,0.999996199652386,0,0,0.9543012451804564,0.4694187308480466,SLC9A3R1;FZD3;CHEK1;CTNNB1;SCRIB;CHFR;ZWINT;MAD2L1
GO_Biological_Process_2023,Positive Regulation Of Neuron Death (GO:1901216),8/34,0.6114648237154626,0.999996199652386,0,0,0.9543012451804564,0.4694187308480466,EFNB2;SRPK2;TFAP2A;TFAP2B;DAXX;CDK5;BAX;CTNNB1
GO_Biological_Process_2023,Purine Nucleotide Metabolic Process (GO:0006163),8/34,0.6114648237154626,0.999996199652386,0,0,0.9543012451804564,0.4694187308480466,PRPS2;SLC4A7;PPAT;IDH2;AMPD2;HPRT1;KMO;GART
GO_Biological_Process_2023,Regulation Of T Cell Receptor Signaling Pathway (GO:0050856),8/34,0.6114648237154626,0.999996199652386,0,0,0.9543012451804564,0.4694187308480466,CEACAM1;PTPRJ;PRKD2;THY1;KCNN4;EZR;DGKZ;CARD11
GO_Biological_Process_2023,Regulation Of Protein Secretion (GO:0050708),24/102,0.6171969489876585,0.999996199652386,0,0,0.9541505485446128,0.4604416649088787,RHBDF1;SLC12A2;TFAP2B;TMED10;RSAD2;EXOC7;RHBDF2;CYP51A1;RFX3;HMGCR;SYT7;CD2AP;DNAJC1;ENSA;MYO18A;PICK1;ADAM8;ATP13A2;EZR;LLGL1;STX1A;LLGL2;EXPH5;ARF6
GO_Biological_Process_2023,Golgi Ribbon Formation (GO:0090161),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,GOLGA2;MYO18A
GO_Biological_Process_2023,Schwann Cell Development (GO:0014044),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,ARHGEF10;SIRT2
GO_Biological_Process_2023,T-helper 17 Cell Differentiation (GO:0072539),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,RORC;JAK1
GO_Biological_Process_2023,Acid Secretion (GO:0046717),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,SLC9A3R1;SLC26A6
GO_Biological_Process_2023,Anoikis (GO:0043276),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,TSC2;BMF
GO_Biological_Process_2023,Apoptotic DNA Fragmentation (GO:0006309),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,DFFB;DICER1
GO_Biological_Process_2023,Autophagosome-Lysosome Fusion (GO:0061909),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,CLN3;ATP13A2
GO_Biological_Process_2023,Bone Resorption (GO:0045453),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,RAB3D;TPP1
GO_Biological_Process_2023,Box C/D snoRNP Assembly (GO:0000492),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,RUVBL2;RUVBL1
GO_Biological_Process_2023,Collagen-Activated Signaling Pathway (GO:0038065),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,DDR1;ITGA2
GO_Biological_Process_2023,Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound (GO:0050910),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,COL11A1;HPN
GO_Biological_Process_2023,Embryonic Digestive Tract Morphogenesis (GO:0048557),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,ID2;SOX11
GO_Biological_Process_2023,Embryonic Forelimb Morphogenesis (GO:0035115),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,TFAP2A;TBX3
GO_Biological_Process_2023,Endosome To Melanosome Transport (GO:0035646),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,AP3D1;RAB38
GO_Biological_Process_2023,Endosome To Pigment Granule Transport (GO:0043485),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,AP3D1;RAB38
GO_Biological_Process_2023,Establishment Of Protein Localization To Chromatin (GO:0071169),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,RUVBL2;LRWD1
GO_Biological_Process_2023,Formation Of Translation Preinitiation Complex (GO:0001731),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,MCTS1;EIF2S3
GO_Biological_Process_2023,Glutamine Transport (GO:0006868),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,SLC38A1;SLC38A9
GO_Biological_Process_2023,Interleukin-12-Mediated Signaling Pathway (GO:0035722),2/8,0.6173245288991849,0.999996199652386,0,0,1.0339214881685133,0.4987227976845952,P4HB;TYK2
