Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Eye Development (GO:0001654),11/58,0.9415715917678588,0.9999952683500742,0,0,0.6317108498403564,0.0380320845393107,SKI;MEIS1;EFEMP1;ADAMTS18;MAB21L1;SH3PXD2B;CHRDL1;MEIS2;TSKU;HIPK2;FBN1
GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),11/58,0.9415715917678588,0.9999952683500742,0,0,0.6317108498403564,0.0380320845393107,SNX3;TUB;IL15RA;AHSG;ADIPOQ;SIRPA;PLA2G5;GAS6;LETMD1;GATA2;FCGR2B
GO_Biological_Process_2023,3'-UTR-mediated mRNA Destabilization (GO:0061158),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,ZFP36;ZFP36L2
GO_Biological_Process_2023,Histone H4-K5 Acetylation (GO:0043981),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,PHF20;JADE1
GO_Biological_Process_2023,Histone H4-K8 Acetylation (GO:0043982),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,PHF20;JADE1
GO_Biological_Process_2023,Negative Regulation Of mRNA Processing (GO:0050686),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,SAP18;SRSF4
GO_Biological_Process_2023,Negative Regulation Of Telomere Maintenance (GO:0032205),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,TNKS;TERF2
GO_Biological_Process_2023,Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,DCST1;SAMHD1
GO_Biological_Process_2023,Oogenesis (GO:0048477),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,NANOS2;PTN
GO_Biological_Process_2023,Positive Regulation Of Immunoglobulin Mediated Immune Response (GO:0002891),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,HMCES;XCL1
GO_Biological_Process_2023,Protein Localization To Microtubule Organizing Center (GO:1905508),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,SNX10;HOOK3
GO_Biological_Process_2023,Regulation Of Cellular Response To Heat (GO:1900034),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,GSK3B;SIRT1
GO_Biological_Process_2023,Regulation Of Cholesterol Biosynthetic Process (GO:0045540),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,PRKAA1;FGF1
GO_Biological_Process_2023,Regulation Of Isotype Switching (GO:0045191),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,IL10;SUPT6H
GO_Biological_Process_2023,Renal Filtration (GO:0097205),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,MCAM;XPNPEP3
GO_Biological_Process_2023,Stem Cell Development (GO:0048864),2/15,0.9418213099117196,0.9999952683500742,0,0,0.4155270655270655,0.024906573731938,FAM172A;TAPT1
GO_Biological_Process_2023,Protein Secretion (GO:0009306),13/67,0.9427730127901728,0.9999952683500742,0,0,0.649718562503866,0.0382877413244672,RAB3C;ANXA1;TMEM167A;TANGO2;TVP23A;PCSK5;CYB5R4;RAB12;CANX;COPG2;VIP;RAB8B;WLS
GO_Biological_Process_2023,Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),7/40,0.9433158959663523,0.9999952683500742,0,0,0.5726682955598619,0.0334175212389272,CDC42;DLG1;RAP2A;LIN7A;MYO9A;RHOA;PARD3B
GO_Biological_Process_2023,Positive Regulation Of Stem Cell Population Maintenance (GO:1902459),7/40,0.9433158959663523,0.9999952683500742,0,0,0.5726682955598619,0.0334175212389272,ING2;PHF10;SAP30L;BRMS1L;BCL7B;ARID4A;SMARCA2
GO_Biological_Process_2023,Sensory Perception Of Mechanical Stimulus (GO:0050954),18/89,0.9447892043363156,0.9999952683500742,0,0,0.6840455810643953,0.0388493020521279,TBX1;TIMM8B;CLIC5;USP53;WFS1;TIMM9;PAX3;SERPINB6;TMIE;GRM7;COL4A3;CDH23;ROR1;GRAP;ALDH7A1;CCDC50;PDZD7;CLRN1
